Team 1,Team 2,Winner,Margin,Ground,Date,Year,Toss Winner,Toss Decision
West Indies,Afghanistan,West Indies,29 runs,Basseterre,Jun 3,2017,West Indies,Bat
West Indies,Afghanistan,West Indies,7 wickets,Basseterre,Jun 5,2017,Afghanistan,Bat
England,South Africa,England,9 wickets,Southampton,Jun 21,2017,South Africa,Bat
England,South Africa,South Africa,3 runs,Taunton,Jun 23,2017,England,Field
England,South Africa,England,19 runs,Cardiff,Jun 25,2017,South Africa,Field
West Indies,India,West Indies,9 wickets,Kingston,Jul 9,2017,West Indies,Field
Sri Lanka,India,India,7 wickets,Colombo (RPS),Sep 6,2017,India,Field
Pakistan,World-XI,Pakistan,20 runs,Lahore,Sep 12,2017,World-XI,Field
Pakistan,World-XI,World-XI,7 wickets,Lahore,Sep 13,2017,Pakistan,Bat
Pakistan,World-XI,Pakistan,33 runs,Lahore,Sep 15,2017,World-XI,Field
England,West Indies,West Indies,21 runs,Chester-le-Street,Sep 16,2017,England,Field
India,Australia,India,9 wickets,Ranchi,Oct 7,2017,India,Field
India,Australia,Australia,8 wickets,Guwahati,Oct 10,2017,Australia,Field
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,Oct 26,2017,Pakistan,Field
South Africa,Bangladesh,South Africa,20 runs,Bloemfontein,Oct 26,2017,South Africa,Bat
Pakistan,Sri Lanka,Pakistan,2 wickets,Abu Dhabi,Oct 27,2017,Pakistan,Field
South Africa,Bangladesh,South Africa,83 runs,Potchefstroom,Oct 29,2017,Bangladesh,Field
Pakistan,Sri Lanka,Pakistan,36 runs,Lahore,Oct 29,2017,Sri Lanka,Field
India,New Zealand,India,53 runs,Delhi,Nov 1,2017,New Zealand,Field
India,New Zealand,New Zealand,40 runs,Rajkot,Nov 4,2017,New Zealand,Bat
India,New Zealand,India,6 runs,Thiruvananthapuram,Nov 7,2017,New Zealand,Field
India,Sri Lanka,India,93 runs,Cuttack,Dec 20,2017,Sri Lanka,Field
India,Sri Lanka,India,88 runs,Indore,Dec 22,2017,Sri Lanka,Field
India,Sri Lanka,India,5 wickets,Mumbai,Dec 24,2017,India,Field
New Zealand,West Indies,New Zealand,47 runs,Nelson,Dec 29,2017,West Indies,Field
New Zealand,West Indies,no result,,Mount Maunganui,Jan 1,2018,West Indies,Field
New Zealand,West Indies,New Zealand,119 runs,Mount Maunganui,Jan 3,2018,New Zealand,Bat
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,Jan 22,2018,New Zealand,Field
New Zealand,Pakistan,Pakistan,48 runs,Auckland,Jan 25,2018,Pakistan,Bat
New Zealand,Pakistan,Pakistan,18 runs,Mount Maunganui,Jan 28,2018,Pakistan,Bat
Australia,New Zealand,Australia,7 wickets,Sydney,Feb 3,2018,Australia,Field
Afghanistan,Zimbabwe,Afghanistan,5 wickets,Sharjah,Feb 5,2018,Afghanistan,Field
Afghanistan,Zimbabwe,Afghanistan,17 runs,Sharjah,Feb 6,2018,Zimbabwe,Field
Australia,England,Australia,5 wickets,Hobart,Feb 7,2018,Australia,Field
Australia,England,Australia,7 wickets,Melbourne,Feb 10,2018,Australia,Field
New Zealand,England,New Zealand,12 runs,Wellington,Feb 13,2018,England,Field
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Dhaka,Feb 15,2018,Bangladesh,Bat
New Zealand,Australia,Australia,5 wickets,Auckland,Feb 16,2018,New Zealand,Bat
New Zealand,England,England,2 runs,Hamilton,Feb 18,2018,New Zealand,Field
Bangladesh,Sri Lanka,Sri Lanka,75 runs,Sylhet,Feb 18,2018,Bangladesh,Field
South Africa,India,India,28 runs,Johannesburg,Feb 18,2018,South Africa,Field
New Zealand,Australia,Australia,19 runs,Auckland,Feb 21,2018,New Zealand,Bat
South Africa,India,South Africa,6 wickets,Centurion,Feb 21,2018,South Africa,Field
South Africa,India,India,7 runs,Cape Town,Feb 24,2018,South Africa,Field
Sri Lanka,India,Sri Lanka,5 wickets,Colombo (RPS),Mar 6,2018,Sri Lanka,Field
Bangladesh,India,India,6 wickets,Colombo (RPS),Mar 8,2018,India,Field
Sri Lanka,Bangladesh,Bangladesh,5 wickets,Colombo (RPS),Mar 10,2018,Bangladesh,Field
Sri Lanka,India,India,6 wickets,Colombo (RPS),Mar 12,2018,India,Field
Bangladesh,India,India,17 runs,Colombo (RPS),Mar 14,2018,Bangladesh,Field
Sri Lanka,Bangladesh,Bangladesh,2 wickets,Colombo (RPS),Mar 16,2018,Bangladesh,Field
Bangladesh,India,India,4 wickets,Colombo (RPS),Mar 18,2018,India,Field
Pakistan,West Indies,Pakistan,143 runs,Karachi,Apr 1,2018,West Indies,Field
Pakistan,West Indies,Pakistan,82 runs,Karachi,Apr 2,2018,Pakistan,Bat
Pakistan,West Indies,Pakistan,8 wickets,Karachi,Apr 3,2018,West Indies,Bat
ICC World XI,West Indies,West Indies,72 runs,Lord's,May 31,2018,ICC World XI,Field
Afghanistan,Bangladesh,Afghanistan,45 runs,Dehradun,Jun 3,2018,Bangladesh,Field
Afghanistan,Bangladesh,Afghanistan,6 wickets,Dehradun,Jun 5,2018,Bangladesh,Bat
Afghanistan,Bangladesh,Afghanistan,1 run,Dehradun,Jun 7,2018,Afghanistan,Bat
Netherlands,Ireland,Netherlands,4 runs,Rotterdam,Jun 12,2018,Ireland,Field
Scotland,Pakistan,Pakistan,48 runs,Edinburgh,Jun 12,2018,Pakistan,Bat
Netherlands,Ireland,Netherlands,4 wickets,Rotterdam,Jun 13,2018,Ireland,Bat
Scotland,Pakistan,Pakistan,84 runs,Edinburgh,Jun 13,2018,Pakistan,Bat
Ireland,Scotland,Ireland,46 runs,Deventer,Jun 16,2018,Ireland,Bat
Ireland,Scotland,tied,,Deventer,Jun 17,2018,Scotland,Bat
Netherlands,Scotland,Scotland,7 wickets,Amstelveen,Jun 19,2018,Netherlands,Bat
Netherlands,Scotland,Scotland,115 runs,Amstelveen,Jun 20,2018,Scotland,Bat
Ireland,India,India,76 runs,Dublin (Malahide),Jun 27,2018,Ireland,Field
England,Australia,England,28 runs,Birmingham,Jun 27,2018,Australia,Field
Ireland,India,India,143 runs,Dublin (Malahide),Jun 29,2018,Ireland,Field
Zimbabwe,Pakistan,Pakistan,74 runs,Harare,Jul 1,2018,Zimbabwe,Field
Australia,Pakistan,Australia,9 wickets,Harare,Jul 2,2018,Australia,Field
Zimbabwe,Australia,Australia,100 runs,Harare,Jul 3,2018,Zimbabwe,Field
England,India,India,8 wickets,Manchester,Jul 3,2018,India,Field
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,Jul 4,2018,Pakistan,Field
Australia,Pakistan,Pakistan,45 runs,Harare,Jul 5,2018,Australia,Field
Zimbabwe,Australia,Australia,5 wickets,Harare,Jul 6,2018,Zimbabwe,Bat
England,India,England,5 wickets,Cardiff,Jul 6,2018,England,Field
Australia,Pakistan,Pakistan,6 wickets,Harare,Jul 8,2018,Australia,Bat
England,India,India,7 wickets,Bristol,Jul 8,2018,India,Field
Nepal,Netherlands,no result,,Lord's,Jul 29,2018,Nepal,Field
West Indies,Bangladesh,West Indies,7 wickets,Basseterre,Jul 31,2018,West Indies,Field
Bangladesh,West Indies,Bangladesh,12 runs,Lauderhill,Aug 4,2018,West Indies,Field
Bangladesh,West Indies,Bangladesh,19 runs,Lauderhill,Aug 5,2018,Bangladesh,Bat
Sri Lanka,South Africa,Sri Lanka,3 wickets,Colombo (RPS),Aug 14,2018,South Africa,Bat
Ireland,Afghanistan,Afghanistan,16 runs,Bready,Aug 20,2018,Ireland,Field
Ireland,Afghanistan,Afghanistan,81 runs,Bready,Aug 22,2018,Afghanistan,Bat
South Africa,Zimbabwe,South Africa,34 runs,East London,Oct 9,2018,South Africa,Bat
South Africa,Zimbabwe,South Africa,6 wickets,Potchefstroom,Oct 12,2018,Zimbabwe,Bat
U.A.E.,Australia,Australia,7 wickets,Tolerance Oval,Oct 22,2018,United Arab Emirates,Bat
Australia,Pakistan,Pakistan,66 runs,Abu Dhabi,Oct 24,2018,Australia,Field
Australia,Pakistan,Pakistan,11 runs,Dubai (DSC),Oct 26,2018,Pakistan,Bat
Sri Lanka,England,England,30 runs,Colombo (RPS),Oct 27,2018,Sri Lanka,Field
Australia,Pakistan,Pakistan,33 runs,Dubai (DSC),Oct 28,2018,Pakistan,Bat
New Zealand,Pakistan,Pakistan,2 runs,Abu Dhabi,Oct 31,2018,Pakistan,Bat
New Zealand,Pakistan,Pakistan,6 wickets,Dubai (DSC),Nov 2,2018,New Zealand,Bat
India,West Indies,India,5 wickets,Kolkata,Nov 4,2018,India,Field
New Zealand,Pakistan,Pakistan,47 runs,Dubai (DSC),Nov 4,2018,Pakistan,Bat
India,West Indies,India,71 runs,Lucknow,Nov 6,2018,West Indies,Field
India,West Indies,India,6 wickets,Chennai,Nov 11,2018,West Indies,Bat
Australia,South Africa,South Africa,21 runs,Carrara,Nov 17,2018,Australia,Field
Australia,India,Australia,4 runs,Brisbane,Nov 21,2018,India,Field
Australia,India,no result,,Melbourne,Nov 23,2018,India,Field
Australia,India,India,6 wickets,Sydney,Nov 25,2018,Australia,Bat
Bangladesh,West Indies,West Indies,8 wickets,Sylhet,Dec 17,2018,Bangladesh,Bat
Bangladesh,West Indies,Bangladesh,36 runs,Dhaka,Dec 20,2018,West Indies,Field
Bangladesh,West Indies,West Indies,50 runs,Dhaka,Dec 22,2018,Bangladesh,Field
New Zealand,Sri Lanka,New Zealand,35 runs,Auckland,Jan 11,2019,Sri Lanka,Field
Bahrain,Saudi Arabia,Bahrain,41 runs,Al Amerat,Jan 20,2019,Saudi Arabia,Field
Kuwait,Maldives,Kuwait,8 wickets,Al Amerat,Jan 20,2019,Kuwait,Field
Bahrain,Maldives,Bahrain,2 wickets,Al Amerat,Jan 21,2019,Maldives,Bat
Qatar,Saudi Arabia,Qatar,4 wickets,Al Amerat,Jan 21,2019,Qatar,Field
Kuwait,Qatar,tied,,Al Amerat,Jan 22,2019,Kuwait,Field
Maldives,Saudi Arabia,Saudi Arabia,6 wickets,Al Amerat,Jan 22,2019,Maldives,Bat
Maldives,Qatar,Qatar,8 wickets,Al Amerat,Jan 23,2019,Maldives,Bat
Bahrain,Kuwait,Kuwait,7 wickets,Al Amerat,Jan 23,2019,Kuwait,Field
Kuwait,Saudi Arabia,Saudi Arabia,7 wickets,Al Amerat,Jan 24,2019,Saudi Arabia,Field
Bahrain,Qatar,Qatar,48 runs,Al Amerat,Jan 24,2019,Bahrain,Field
Qatar,Saudi Arabia,Saudi Arabia,8 wickets,Al Amerat,Jan 24,2019,Saudi Arabia,Field
U.A.E.,Nepal,U.A.E.,21 runs,ICCA Dubai,Jan 31,2019,Nepal,Field
U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,Feb 1,2019,United Arab Emirates,Bat
South Africa,Pakistan,South Africa,6 runs,Cape Town,Feb 1,2019,Pakistan,Field
U.A.E.,Nepal,Nepal,14 runs,ICCA Dubai,Feb 3,2019,United Arab Emirates,Field
South Africa,Pakistan,South Africa,7 runs,Johannesburg,Feb 3,2019,Pakistan,Field
New Zealand,India,New Zealand,80 runs,Wellington,Feb 6,2019,India,Field
South Africa,Pakistan,Pakistan,27 runs,Centurion,Feb 6,2019,South Africa,Field
New Zealand,India,India,7 wickets,Auckland,Feb 8,2019,New Zealand,Bat
New Zealand,India,New Zealand,4 runs,Hamilton,Feb 10,2019,India,Field
Netherlands,Scotland,Netherlands,7 wickets,Al Amerat,Feb 13,2019,Netherlands,Field
Oman,Ireland,Ireland,15 runs,Al Amerat,Feb 13,2019,Oman,Field
Oman,Netherlands,Netherlands,8 wickets,Al Amerat,Feb 15,2019,Netherlands,Field
Ireland,Scotland,Scotland,6 wickets,Al Amerat,Feb 15,2019,Scotland,Field
Ireland,Netherlands,Ireland,1 wicket,Al Amerat,Feb 17,2019,Ireland,Field
Oman,Scotland,Scotland,7 wickets,Al Amerat,Feb 17,2019,Scotland,Field
Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,Feb 21,2019,Ireland,Bat
Afghanistan,Ireland,Afghanistan,84 runs,Dehradun,Feb 23,2019,Afghanistan,Bat
Afghanistan,Ireland,Afghanistan,32 runs,Dehradun,Feb 24,2019,Ireland,Field
India,Australia,Australia,3 wickets,Visakhapatnam,Feb 24,2019,Australia,Field
India,Australia,Australia,7 wickets,Bengaluru,Feb 27,2019,Australia,Field
West Indies,England,England,4 wickets,Gros Islet,Mar 5,2019,England,Field
West Indies,England,England,137 runs,Basseterre,Mar 8,2019,West Indies,Field
West Indies,England,England,8 wickets,Basseterre,Mar 10,2019,West Indies,Bat
U.A.E.,U.S.A.,no result,,ICCA Dubai,Mar 15,2019,United Arab Emirates,Field
U.A.E.,U.S.A.,U.A.E.,24 runs,ICCA Dubai,Mar 16,2019,United Arab Emirates,Bat
South Africa,Sri Lanka,tied,,Cape Town,Mar 19,2019,South Africa,Field
P.N.G.,Philippines,P.N.G.,133 runs,Port Moresby,Mar 22,2019,Philippines,Field
P.N.G.,Vanuatu,P.N.G.,8 wickets,Port Moresby,Mar 22,2019,Vanuatu,Bat
South Africa,Sri Lanka,South Africa,16 runs,Centurion,Mar 22,2019,Sri Lanka,Field
Philippines,Vanuatu,Vanuatu,63 runs,Port Moresby,Mar 23,2019,Vanuatu,Bat
P.N.G.,Philippines,no result,,Port Moresby,Mar 23,2019,Papua New Guinea,Bat
Philippines,Vanuatu,Philippines,10 runs,Port Moresby,Mar 24,2019,Vanuatu,Field
P.N.G.,Vanuatu,P.N.G.,10 wickets,Port Moresby,Mar 24,2019,Vanuatu,Bat
South Africa,Sri Lanka,South Africa,45 runs,Johannesburg,Mar 24,2019,Sri Lanka,Field
Spain,Malta,Spain,7 wickets,Cartagena,Mar 29,2019,Malta,Bat
Spain,Malta,Spain,109 runs,Cartagena,Mar 30,2019,Spain,Bat
Mexico,Belize,Belize,4 wickets,Naucalpan,Apr 25,2019,Belize,Field
Costa Rica,Panama,Panama,7 wickets,Naucalpan,Apr 25,2019,Costa Rica,Bat
Mexico,Costa Rica,Mexico,3 wickets,Naucalpan,Apr 26,2019,Costa Rica,Bat
Belize,Panama,Belize,9 runs,Naucalpan,Apr 26,2019,Panama,Field
Belize,Costa Rica,Belize,5 wickets,Naucalpan,Apr 27,2019,Costa Rica,Bat
Mexico,Panama,Panama,33 runs,Naucalpan,Apr 27,2019,Mexico,Field
England,Pakistan,England,7 wickets,Cardiff,May 5,2019,Pakistan,Bat
Belgium,Germany,Germany,9 runs,Waterloo,May 11,2019,Belgium,Field
Belgium,Germany,Germany,62 runs,Waterloo,May 11,2019,Germany,Bat
Belgium,Germany,Germany,6 wickets,Waterloo,May 12,2019,Germany,Field
Kenya,Nigeria,Kenya,8 wickets,Kampala,May 20,2019,Kenya,Field
Ghana,Namibia,Namibia,9 wickets,Kampala,May 20,2019,Namibia,Field
Uganda,Botswana,Uganda,52 runs,Kampala,May 20,2019,Botswana,Field
Uganda,Namibia,Namibia,42 runs,Kampala,May 21,2019,Namibia,Bat
Botswana,Nigeria,Nigeria,11 runs,Kampala,May 21,2019,Nigeria,Bat
Ghana,Kenya,Kenya,53 runs,Kampala,May 21,2019,Ghana,Field
Ghana,Nigeria,Nigeria,28 runs,Kampala,May 22,2019,Ghana,Field
Botswana,Namibia,Namibia,10 wickets,Kampala,May 22,2019,Botswana,Bat
Uganda,Kenya,Kenya,1 run,Kampala,May 22,2019,Kenya,Bat
Uganda,Ghana,Uganda,7 wickets,Kampala,May 23,2019,Ghana,Bat
Germany,Italy,Italy,7 wickets,Utrecht,May 25,2019,Germany,Bat
Germany,Italy,Italy,6 wickets,Utrecht,May 25,2019,Italy,Field
Guernsey,Jersey,tied,,St Peter Port,May 31,2019,Guernsey,Field
Guernsey,Jersey,Jersey,41 runs,Castel,Jun 1,2019,Guernsey,Field
Guernsey,Jersey,Jersey,76 runs,Castel,Jun 1,2019,Jersey,Bat
Guernsey,Jersey,Jersey,8 wickets,Castel,Jun 15,2019,Guernsey,Bat
Italy,Norway,Italy,20 runs,St Peter Port,Jun 15,2019,Norway,Bat
Guernsey,Germany,Germany,5 wickets,Castel,Jun 15,2019,Germany,Field
Germany,Italy,Italy,5 wickets,St Peter Port,Jun 16,2019,Italy,Field
Denmark,Jersey,Jersey,18 runs,Castel,Jun 16,2019,Denmark,Field
Guernsey,Italy,Italy,11 runs,St Peter Port,Jun 16,2019,Guernsey,Field
Jersey,Norway,Jersey,80 runs,Castel,Jun 16,2019,Jersey,Bat
Denmark,Norway,Denmark,46 runs,Castel,Jun 17,2019,Denmark,Bat
Guernsey,Denmark,no result,,Castel,Jun 18,2019,Guernsey,Field
Denmark,Italy,no result,,Castel,Jun 18,2019,,
Guernsey,Norway,Guernsey,4 wickets,Castel,Jun 19,2019,Guernsey,Field
Italy,Jersey,Jersey,73 runs,St Peter Port,Jun 19,2019,Italy,Field
Denmark,Germany,Germany,7 wickets,Castel,Jun 19,2019,Germany,Field
Guernsey,Denmark,Guernsey,6 runs,Castel,Jun 20,2019,Denmark,Field
Germany,Norway,Germany,7 wickets,St Peter Port,Jun 20,2019,Germany,Field
Denmark,Italy,Denmark,30 runs,Castel,Jun 20,2019,Denmark,Bat
Germany,Jersey,Germany,3 wickets,St Peter Port,Jun 20,2019,Germany,Field
Netherlands,Zimbabwe,Netherlands,49 runs,Rotterdam,Jun 23,2019,Zimbabwe,Field
Malaysia,Thailand,Malaysia,5 wickets,Kuala Lumpur,Jun 24,2019,Malaysia,Field
Malaysia,Maldives,Malaysia,73 runs,Kuala Lumpur,Jun 25,2019,Maldives,Field
Netherlands,Zimbabwe,tied,,Rotterdam,Jun 25,2019,Netherlands,Bat
Maldives,Thailand,Maldives,2 wickets,Kuala Lumpur,Jun 26,2019,Thailand,Bat
Malaysia,Thailand,Malaysia,8 wickets,Kuala Lumpur,Jun 27,2019,Thailand,Bat
Malaysia,Maldives,no result,,Kuala Lumpur,Jun 28,2019,Malaysia,Bat
Maldives,Thailand,Thailand,5 wickets,Kuala Lumpur,Jun 29,2019,Thailand,Field
Qatar,Kuwait,Kuwait,7 wickets,Doha,Jul 4,2019,Kuwait,Field
Qatar,Kuwait,tied,,Doha,Jul 5,2019,Qatar,Field
Qatar,Kuwait,Qatar,3 wickets,Doha,Jul 6,2019,Qatar,Field
Samoa,P.N.G.,P.N.G.,9 wickets,Apia (No 1),Jul 8,2019,Papua New Guinea,Field
P.N.G.,Vanuatu,P.N.G.,3 wickets,Apia (No 3),Jul 9,2019,Papua New Guinea,Field
Samoa,Vanuatu,Samoa,2 wickets,Apia (No 1),Jul 9,2019,Samoa,Field
Samoa,P.N.G.,P.N.G.,7 wickets,Apia (No 2),Jul 10,2019,Papua New Guinea,Field
Samoa,Vanuatu,Vanuatu,32 runs,Apia (No 3),Jul 12,2019,Samoa,Field
P.N.G.,Vanuatu,P.N.G.,59 runs,Apia (No 2),Jul 12,2019,Vanuatu,Field
Ireland,Zimbabwe,Ireland,9 wickets,Bready,Jul 12,2019,Ireland,Field
P.N.G.,Vanuatu,P.N.G.,32 runs,Apia (No 2),Jul 13,2019,Vanuatu,Field
Malaysia,Nepal,Nepal,7 wickets,Kuala Lumpur,Jul 13,2019,Malaysia,Bat
Denmark,Finland,Denmark,1 run,Brondby,Jul 13,2019,Finland,Field
Denmark,Finland,Denmark,38 runs,Brondby,Jul 13,2019,Denmark,Bat
Malaysia,Nepal,Nepal,6 runs,Kuala Lumpur,Jul 14,2019,Nepal,Bat
Ireland,Zimbabwe,Zimbabwe,8 wickets,Bready,Jul 14,2019,Zimbabwe,Field
Singapore,Qatar,Singapore,33 runs,Singapore,Jul 22,2019,Singapore,Bat
Kuwait,Malaysia,Malaysia,42 runs,Singapore,Jul 22,2019,Malaysia,Bat
Nepal,Qatar,Qatar,4 wickets,Singapore,Jul 23,2019,Nepal,Bat
Malaysia,Nepal,Nepal,7 wickets,Singapore,Jul 24,2019,Nepal,Field
Kuwait,Qatar,Kuwait,10 runs,Singapore,Jul 26,2019,Qatar,Field
Singapore,Malaysia,Singapore,8 wickets,Singapore,Jul 26,2019,Malaysia,Bat
Kuwait,Nepal,Nepal,7 wickets,Singapore,Jul 27,2019,Nepal,Field
Malaysia,Qatar,Qatar,4 wickets,Singapore,Jul 27,2019,Malaysia,Bat
Singapore,Nepal,Singapore,82 runs,Singapore,Jul 28,2019,Singapore,Bat
Netherlands,U.A.E.,U.A.E.,13 runs,Amstelveen,Aug 3,2019,Netherlands,Field
India,West Indies,India,4 wickets,Lauderhill,Aug 3,2019,India,Field
India,West Indies,India,22 runs,Lauderhill,Aug 4,2019,India,Bat
Netherlands,U.A.E.,U.A.E.,5 wickets,Amstelveen,Aug 5,2019,United Arab Emirates,Field
Netherlands,U.A.E.,U.A.E.,14 runs,The Hague,Aug 6,2019,Netherlands,Field
West Indies,India,India,7 wickets,Providence,Aug 6,2019,India,Field
Netherlands,U.A.E.,U.A.E.,7 wickets,The Hague,Aug 8,2019,Netherlands,Bat
Finland,Spain,Finland,82 runs,Kerava,Aug 17,2019,Finland,Bat
Finland,Spain,Spain,6 wickets,Kerava,Aug 17,2019,Finland,Bat
Finland,Spain,Spain,4 wickets,Kerava,Aug 18,2019,Finland,Bat
Bermuda,U.S.A.,Bermuda,6 runs,Sandys Parish,Aug 18,2019,Bermuda,Bat
Canada,Cayman Is,Canada,84 runs,Sandys Parish,Aug 18,2019,Canada,Bat
Namibia,Botswana,Namibia,93 runs,Windhoek,Aug 19,2019,Botswana,Field
Bermuda,Canada,no result,,Hamilton,Aug 19,2019,Bermuda,Bat
Cayman Is,U.S.A.,U.S.A.,10 runs,Hamilton,Aug 19,2019,United States of America,Field
Namibia,Botswana,Namibia,124 runs,Windhoek,Aug 20,2019,Botswana,Field
Bermuda,Cayman Is,Bermuda,6 wickets,Sandys Parish,Aug 21,2019,Cayman Islands,Bat
Canada,U.S.A.,Canada,4 wickets,Sandys Parish,Aug 21,2019,United States of America,Bat
Namibia,Botswana,Namibia,78 runs,Windhoek,Aug 22,2019,Namibia,Bat
Canada,Cayman Is,Canada,8 wickets,Sandys Parish,Aug 22,2019,Canada,Field
Bermuda,U.S.A.,Bermuda,4 wickets,Sandys Parish,Aug 22,2019,Bermuda,Field
Namibia,Botswana,Namibia,8 wickets,Windhoek,Aug 23,2019,Botswana,Bat
Cayman Is,U.S.A.,U.S.A.,9 wickets,Sandys Parish,Aug 24,2019,Cayman Islands,Bat
Bermuda,Canada,Canada,8 wickets,Sandys Parish,Aug 24,2019,Bermuda,Bat
Canada,U.S.A.,Canada,15 runs,Sandys Parish,Aug 25,2019,United States of America,Field
Bermuda,Cayman Is,Bermuda,6 wickets,Sandys Parish,Aug 25,2019,Cayman Islands,Bat
Romania,Austria,Romania,31 runs,Ilfov County,Aug 29,2019,Austria,Field
Luxembourg,Turkey,Luxembourg,8 wickets,Ilfov County,Aug 29,2019,Turkey,Bat
Romania,Turkey,Romania,173 runs,Ilfov County,Aug 29,2019,Turkey,Field
Austria,Czech Rep.,Austria,8 wickets,Ilfov County,Aug 30,2019,Austria,Field
Romania,Luxembourg,Romania,7 wickets,Ilfov County,Aug 30,2019,Luxembourg,Bat
Czech Rep.,Turkey,Czech Rep.,257 runs,Ilfov County,Aug 30,2019,Czech Republic,Bat
Austria,Luxembourg,Austria,135 runs,Ilfov County,Aug 31,2019,Austria,Bat
Romania,Czech Rep.,Czech Rep.,6 wickets,Ilfov County,Aug 31,2019,Czech Republic,Field
Austria,Turkey,Austria,10 wickets,Ilfov County,Aug 31,2019,Turkey,Bat
Czech Rep.,Luxembourg,Czech Rep.,6 wickets,Ilfov County,Sep 1,2019,Czech Republic,Field
Austria,Czech Rep.,Austria,30 runs,Ilfov County,Sep 1,2019,Czech Republic,Field
Sri Lanka,New Zealand,New Zealand,5 wickets,Pallekele,Sep 1,2019,Sri Lanka,Bat
Sri Lanka,New Zealand,New Zealand,4 wickets,Pallekele,Sep 3,2019,Sri Lanka,Bat
Sri Lanka,New Zealand,Sri Lanka,37 runs,Pallekele,Sep 6,2019,Sri Lanka,Bat
Bangladesh,Zimbabwe,Bangladesh,3 wickets,Dhaka,Sep 13,2019,Bangladesh,Field
Afghanistan,Zimbabwe,Afghanistan,28 runs,Dhaka,Sep 14,2019,Zimbabwe,Field
Bangladesh,Afghanistan,Afghanistan,25 runs,Dhaka,Sep 15,2019,Afghanistan,Bat
Netherlands,Scotland,Scotland,58 runs,Dublin (Malahide),Sep 16,2019,Netherlands,Field
Ireland,Scotland,Ireland,4 wickets,Dublin (Malahide),Sep 17,2019,Scotland,Bat
Bangladesh,Zimbabwe,Bangladesh,39 runs,Chattogram,Sep 18,2019,Zimbabwe,Field
Ireland,Netherlands,Netherlands,6 wickets,Dublin (Malahide),Sep 18,2019,Ireland,Bat
India,South Africa,India,7 wickets,Mohali,Sep 18,2019,India,Field
Netherlands,Scotland,Scotland,6 wickets,Dublin (Malahide),Sep 19,2019,Netherlands,Bat
Afghanistan,Zimbabwe,Zimbabwe,7 wickets,Chattogram,Sep 20,2019,Afghanistan,Bat
Ireland,Scotland,Ireland,1 run,Dublin (Malahide),Sep 20,2019,Scotland,Field
Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,Sep 21,2019,Bangladesh,Field
India,South Africa,South Africa,9 wickets,Bengaluru,Sep 22,2019,India,Bat
Nepal,Zimbabwe,Zimbabwe,5 wickets,Singapore,Sep 27,2019,Nepal,Bat
Singapore,Nepal,Nepal,9 wickets,Singapore,Sep 28,2019,Singapore,Bat
Malaysia,Vanuatu,Vanuatu,17 runs,Kuala Lumpur,Sep 29,2019,Vanuatu,Bat
Singapore,Zimbabwe,Singapore,4 runs,Singapore,Sep 29,2019,Singapore,Bat
Malaysia,Vanuatu,Vanuatu,51 runs,Kuala Lumpur,Oct 1-2,2019,Vanuatu,Bat
Nepal,Zimbabwe,Zimbabwe,40 runs,Singapore,Oct 1,2019,Nepal,Field
Malaysia,Vanuatu,Malaysia,26 runs,Kuala Lumpur,Oct 2,2019,Malaysia,Bat
Malaysia,Vanuatu,Vanuatu,6 wickets,Kuala Lumpur,Oct 3,2019,Malaysia,Bat
Singapore,Zimbabwe,Zimbabwe,8 wickets,Singapore,Oct 3,2019,Zimbabwe,Field
Argentina,Mexico,Argentina,9 wickets,Cortijo Polo Club Pitch A,Oct 3,2019,Argentina,Field
Brazil,Chile,Brazil,35 runs,Cortijo Polo Club Pitch B,Oct 3,2019,Chile,Field
Peru,Brazil,Peru,2 runs,Cortijo Polo Club Pitch A,Oct 3,2019,Peru,Bat
Malaysia,Vanuatu,Malaysia,22 runs,Kuala Lumpur,Oct 4,2019,Malaysia,Bat
Chile,Mexico,Chile,4 wickets,Cortijo Polo Club Pitch A,Oct 4,2019,Chile,Field
Peru,Argentina,Argentina,7 wickets,Cortijo Polo Club Pitch B,Oct 4,2019,Argentina,Field
Argentina,Brazil,Argentina,29 runs,Cortijo Polo Club Pitch A,Oct 4,2019,Brazil,Field
Oman,Hong Kong,Oman,7 wickets,Al Amerat,Oct 5,2019,Hong Kong,Bat
Ireland,Netherlands,Ireland,6 wickets,Al Amerat,Oct 5,2019,Ireland,Field
Argentina,Chile,Argentina,28 runs,Cortijo Polo Club Pitch A,Oct 5,2019,Chile,Field
Peru,Mexico,Mexico,39 runs,Cortijo Polo Club Pitch B,Oct 5,2019,Peru,Field
Pakistan,Sri Lanka,Sri Lanka,64 runs,Lahore,Oct 5,2019,Pakistan,Field
Peru,Chile,Peru,60 runs,Cortijo Polo Club Pitch A,Oct 5,2019,Peru,Bat
Brazil,Mexico,Mexico,20 runs,Cortijo Polo Club Pitch B,Oct 5,2019,Mexico,Bat
Oman,Ireland,Oman,43 runs,Al Amerat,Oct 6,2019,Ireland,Field
