Team 1,Team 2,Winner,Margin,Ground,Date,Year,Toss Winner,Toss Decision
Kenya,Ireland,Ireland,6 wickets,Mombasa,Feb 22,2012,Ireland,Field
Kenya,Ireland,Ireland,8 wickets,Mombasa,Feb 23,2012,Kenya,Bat
England,Pakistan,Pakistan,8 runs,Dubai (DSC),Feb 23,2012,England,Field
Kenya,Ireland,Ireland,2 runs,Mombasa,Feb 24,2012,Ireland,Bat
England,Pakistan,England,38 runs,Dubai (DSC),Feb 25,2012,England,Bat
England,Pakistan,England,5 runs,Abu Dhabi,Feb 27,2012,England,Bat
Canada,Netherlands,Netherlands,42 runs,Dubai (DSC),Mar 13,2012,Netherlands,Bat
Kenya,Scotland,Scotland,14 runs,ICCA Dubai,Mar 13,2012,Scotland,Bat
Ireland,Kenya,Ireland,10 wickets,Dubai (DSC),Mar 14,2012,Kenya,Bat
Afghanistan,Netherlands,Afghanistan,4 wickets,Dubai (DSC),Mar 14,2012,Netherlands,Bat
Afghanistan,Canada,Afghanistan,41 runs,ICCA Dubai,Mar 18,2012,Afghanistan,Bat
Ireland,Scotland,Ireland,17 runs,Dubai (DSC),Mar 18,2012,Ireland,Bat
Canada,Ireland,Ireland,10 wickets,Dubai (DSC),Mar 22,2012,Canada,Bat
Netherlands,Scotland,Netherlands,3 wickets,ICCA Dubai,Mar 22,2012,Scotland,Bat
Ireland,Netherlands,Ireland,7 wickets,Dubai (DSC),Mar 23,2012,Ireland,Field
Canada,Scotland,Scotland,4 wickets,Dubai (DSC),Mar 23,2012,Canada,Bat
Afghanistan,Ireland,Ireland,5 wickets,Dubai (DSC),Mar 24,2012,Afghanistan,Bat
West Indies,Australia,Australia,8 wickets,Gros Islet,Mar 27,2012,West Indies,Bat
South Africa,India,South Africa,11 runs,Johannesburg,Mar 30,2012,India,Field
West Indies,Australia,West Indies,14 runs,Bridgetown,Mar 30,2012,West Indies,Bat
Sri Lanka,Pakistan,Sri Lanka,37 runs,Hambantota,Jun 1,2012,Sri Lanka,Bat
Sri Lanka,Pakistan,Pakistan,23 runs,Hambantota,Jun 3,2012,Pakistan,Bat
England,West Indies,England,7 wickets,Nottingham,Jun 24,2012,West Indies,Bat
New Zealand,West Indies,West Indies,56 runs,Lauderhill,Jun 30,2012,New Zealand,Field
New Zealand,West Indies,West Indies,61 runs,Lauderhill,Jul 1,2012,West Indies,Bat
Ireland,Bangladesh,Bangladesh,71 runs,Belfast,Jul 18,2012,Ireland,Field
Ireland,Bangladesh,Bangladesh,1 run,Belfast,Jul 20,2012,Bangladesh,Bat
Ireland,Bangladesh,Bangladesh,2 wickets,Belfast,Jul 21,2012,Ireland,Bat
Bangladesh,Scotland,Scotland,34 runs,The Hague,Jul 24,2012,Scotland,Bat
Netherlands,Bangladesh,Bangladesh,8 wickets,The Hague,Jul 25,2012,Netherlands,Bat
Netherlands,Bangladesh,Netherlands,1 wicket,The Hague,Jul 26,2012,Bangladesh,Bat
Sri Lanka,India,India,39 runs,Pallekele,Aug 7,2012,Sri Lanka,Field
Australia,Pakistan,Pakistan,7 wickets,Dubai (DSC),Sep 5,2012,Pakistan,Field
Australia,Pakistan,tied,,Dubai (DSC),Sep 7,2012,Pakistan,Bat
England,South Africa,South Africa,7 wickets,Chester-le-Street,Sep 8,2012,South Africa,Field
Australia,Pakistan,Australia,94 runs,Dubai (DSC),Sep 10,2012,Pakistan,Field
England,South Africa,no result,,Manchester,Sep 10,2012,England,Field
India,New Zealand,New Zealand,1 run,Chennai,Sep 11,2012,India,Field
England,South Africa,England,28 runs,Birmingham,Sep 12,2012,South Africa,Field
Sri Lanka,Zimbabwe,Sri Lanka,82 runs,Hambantota,Sep 18,2012,Zimbabwe,Field
Australia,Ireland,Australia,7 wickets,Colombo (RPS),Sep 19,2012,Ireland,Bat
Afghanistan,India,India,23 runs,Colombo (RPS),Sep 19,2012,Afghanistan,Field
South Africa,Zimbabwe,South Africa,10 wickets,Hambantota,Sep 20,2012,South Africa,Field
Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,Sep 21,2012,Bangladesh,Field
Afghanistan,England,England,116 runs,Colombo (RPS),Sep 21,2012,Afghanistan,Field
Sri Lanka,South Africa,South Africa,32 runs,Hambantota,Sep 22,2012,Sri Lanka,Field
Australia,West Indies,Australia,17 runs,Colombo (RPS),Sep 22,2012,West Indies,Bat
New Zealand,Pakistan,Pakistan,13 runs,Pallekele,Sep 23,2012,Pakistan,Bat
England,India,India,90 runs,Colombo (RPS),Sep 23,2012,England,Field
Ireland,West Indies,no result,,Colombo (RPS),Sep 24,2012,West Indies,Field
Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,Sep 25,2012,Bangladesh,Bat
Sri Lanka,New Zealand,tied,,Pallekele,Sep 27,2012,New Zealand,Bat
England,West Indies,West Indies,15 runs,Pallekele,Sep 27,2012,West Indies,Bat
Pakistan,South Africa,Pakistan,2 wickets,Colombo (RPS),Sep 28,2012,South Africa,Bat
Australia,India,Australia,9 wickets,Colombo (RPS),Sep 28,2012,India,Bat
England,New Zealand,England,6 wickets,Pallekele,Sep 29,2012,New Zealand,Bat
Sri Lanka,West Indies,Sri Lanka,9 wickets,Pallekele,Sep 29,2012,West Indies,Bat
Australia,South Africa,Australia,8 wickets,Colombo (RPS),Sep 30,2012,Australia,Field
India,Pakistan,India,8 wickets,Colombo (RPS),Sep 30,2012,Pakistan,Bat
New Zealand,West Indies,tied,,Pallekele,Oct 1,2012,New Zealand,Field
Sri Lanka,England,Sri Lanka,19 runs,Pallekele,Oct 1,2012,England,Field
Australia,Pakistan,Pakistan,32 runs,Colombo (RPS),Oct 2,2012,Australia,Field
India,South Africa,India,1 run,Colombo (RPS),Oct 2,2012,South Africa,Field
Sri Lanka,Pakistan,Sri Lanka,16 runs,Colombo (RPS),Oct 4,2012,Sri Lanka,Bat
Australia,West Indies,West Indies,74 runs,Colombo (RPS),Oct 5,2012,West Indies,Bat
Sri Lanka,West Indies,West Indies,36 runs,Colombo (RPS),Oct 7,2012,West Indies,Bat
Sri Lanka,New Zealand,no result,,Pallekele,Oct 30,2012,Sri Lanka,Field
Bangladesh,West Indies,West Indies,18 runs,Dhaka,Dec 10,2012,West Indies,Bat
India,England,India,5 wickets,Pune,Dec 20,2012,India,Field
South Africa,New Zealand,South Africa,8 wickets,Durban,Dec 21,2012,New Zealand,Bat
India,England,England,6 wickets,Mumbai,Dec 22,2012,England,Field
South Africa,New Zealand,New Zealand,8 wickets,East London,Dec 23,2012,New Zealand,Field
India,Pakistan,Pakistan,5 wickets,Bengaluru,Dec 25,2012,Pakistan,Field
South Africa,New Zealand,South Africa,33 runs,Port Elizabeth,Dec 26,2012,South Africa,Bat
India,Pakistan,India,11 runs,Ahmedabad,Dec 28,2012,Pakistan,Field
Australia,Sri Lanka,Sri Lanka,5 wickets,Sydney,Jan 26,2013,Australia,Bat
Australia,Sri Lanka,Sri Lanka,2 runs,Melbourne,Jan 28,2013,Australia,Field
New Zealand,England,England,40 runs,Auckland,Feb 9,2013,New Zealand,Field
New Zealand,England,New Zealand,55 runs,Hamilton,Feb 12,2013,England,Field
Australia,West Indies,West Indies,27 runs,Brisbane,Feb 13,2013,West Indies,Bat
New Zealand,England,England,10 wickets,Wellington,Feb 15,2013,England,Field
West Indies,Zimbabwe,West Indies,8 wickets,North Sound,Mar 2,2013,Zimbabwe,Bat
South Africa,Pakistan,Pakistan,95 runs,Centurion,Mar 3,2013,Pakistan,Bat
Afghanistan,Scotland,Afghanistan,27 runs,Sharjah,Mar 3,2013,Afghanistan,Bat
West Indies,Zimbabwe,West Indies,41 runs,North Sound,Mar 3,2013,West Indies,Bat
Afghanistan,Scotland,Afghanistan,7 wickets,Sharjah,Mar 4,2013,Scotland,Bat
Canada,Kenya,Canada,5 wickets,ICCA Dubai,Mar 15,2013,Kenya,Bat
Canada,Kenya,Kenya,21 runs,ICCA Dubai,Mar 16,2013,Kenya,Bat
Sri Lanka,Bangladesh,Sri Lanka,17 runs,Pallekele,Mar 31,2013,Bangladesh,Field
